,ROUND,ACCURACY
0,1,10.0
1,2,24.19
2,3,42.29
3,4,48.19
4,5,55.269999999999996
5,6,66.14999999999999
6,7,61.29
7,8,68.32000000000001
8,9,69.62
9,10,73.35000000000001
10,11,73.54
11,12,73.75
12,13,76.97
13,14,75.89
14,15,77.5
15,16,77.53
16,17,77.38000000000001
17,18,79.83
18,19,79.38
19,20,80.34
20,21,80.97999999999999
21,22,81.13
22,23,76.57000000000001
23,24,78.86
24,25,80.78
25,26,80.5
26,27,80.7
27,28,75.84
28,29,78.99000000000001
29,30,79.69000000000001
30,31,77.60000000000001
31,32,79.03
32,33,82.63000000000001
33,34,77.69
34,35,81.66
35,36,80.55
36,37,77.82
37,38,81.75
38,39,82.35
39,40,81.53
40,41,75.53
41,42,81.91000000000001
42,43,82.45
43,44,79.64
44,45,78.44
45,46,81.5
46,47,82.46
47,48,80.33
48,49,81.15
49,50,80.67
50,51,82.78
51,52,81.39
52,53,82.09
53,54,82.48
54,55,75.78
55,56,81.46
56,57,75.44999999999999
57,58,82.39999999999999
58,59,81.58999999999999
59,60,82.80999999999999
60,61,81.69999999999999
61,62,79.21000000000001
62,63,80.73
63,64,79.39
64,65,81.23
65,66,82.48
66,67,80.61
67,68,81.89999999999999
68,69,81.04
69,70,81.01
70,71,81.41000000000001
71,72,81.82000000000001
72,73,83.71
73,74,80.08999999999999
74,75,83.00999999999999
75,76,80.78999999999999
76,77,80.44
77,78,80.28999999999999
78,79,80.91000000000001
79,80,81.34
80,81,81.99
81,82,82.16
82,83,82.87
83,84,81.84
84,85,80.62
85,86,81.89999999999999
86,87,83.16
87,88,78.88
88,89,79.93
89,90,82.19
90,91,81.23
91,92,82.17999999999999
92,93,82.05
93,94,83.1
94,95,82.74000000000001
95,96,80.24
96,97,79.14
97,98,78.28
98,99,81.81
99,100,84.24000000000001
